Original Name,BDMAP Name
FELIX-OUT-1000_ARTERIAL,BDMAP_O0000001
FELIX-OUT-1000_VENOUS,BDMAP_O0000002
FELIX-OUT-1001_VENOUS,BDMAP_O0000003
FELIX-OUT-1003_ARTERIAL,BDMAP_O0000004
FELIX-OUT-1003_VENOUS,BDMAP_O0000005
FELIX-OUT-1006_VENOUS,BDMAP_O0000006
FELIX-OUT-1008_VENOUS,BDMAP_O0000007
FELIX-OUT-1022_ARTERIAL,BDMAP_O0000008
FELIX-OUT-1023_ARTERIAL,BDMAP_O0000009
FELIX-OUT-1025_ARTERIAL,BDMAP_O0000010
FELIX-OUT-1026_ARTERIAL,BDMAP_O0000011
FELIX-OUT-1027_ARTERIAL,BDMAP_O0000012
FELIX-OUT-1036_Struct,BDMAP_O0000013
FELIX-OUT-1038_ARTERIAL,BDMAP_O0000014
FELIX-OUT-1042_Struct,BDMAP_O0000015
FELIX-OUT-1048_VENOUS,BDMAP_O0000016
FELIX-OUT-1049_VENOUS,BDMAP_O0000017
FELIX-OUT-1061_ARTERIAL,BDMAP_O0000018
FELIX-OUT-1062_ARTERIAL,BDMAP_O0000019
FELIX-OUT-1066_ARTERIAL,BDMAP_O0000020
FELIX-OUT-1067_ARTERIAL,BDMAP_O0000021
FELIX-OUT-1068_ARTERIAL,BDMAP_O0000022
FELIX-OUT-1069_ARTERIAL,BDMAP_O0000023
FELIX-OUT-1071_Struct,BDMAP_O0000024
FELIX-OUT-1072_Struct,BDMAP_O0000025
FELIX-OUT-1076_Struct,BDMAP_O0000026
FELIX-OUT-1077_Struct,BDMAP_O0000027
FELIX-OUT-1078_VENOUS,BDMAP_O0000028
FELIX-OUT-1083_VENOUS,BDMAP_O0000029
FELIX-OUT-1084_VENOUS,BDMAP_O0000030
FELIX-OUT-1085_VENOUS,BDMAP_O0000031
FELIX-OUT-1088_ARTERIAL,BDMAP_O0000032
FELIX-OUT-1088_VENOUS,BDMAP_O0000033
FELIX-OUT-1089_VENOUS,BDMAP_O0000034
FELIX-OUT-1101_ARTERIAL,BDMAP_O0000035
FELIX-OUT-1102_ARTERIAL,BDMAP_O0000036
FELIX-OUT-1105_ARTERIAL,BDMAP_O0000037
FELIX-OUT-1109_ARTERIAL,BDMAP_O0000038
FELIX-OUT-1110_ARTERIAL,BDMAP_O0000039
FELIX-OUT-1111_Struct,BDMAP_O0000040
FELIX-OUT-1112_ARTERIAL,BDMAP_O0000041
FELIX-OUT-1113_Struct,BDMAP_O0000042
FELIX-OUT-1122_ARTERIAL,BDMAP_O0000043
FELIX-OUT-1123_VENOUS,BDMAP_O0000044
FELIX-OUT-1128_VENOUS,BDMAP_O0000045
FELIX-OUT-1130_VENOUS,BDMAP_O0000046
FELIX-OUT-1143_ARTERIAL,BDMAP_O0000047
FELIX-OUT-1146_ARTERIAL,BDMAP_O0000048
FELIX-OUT-1148_ARTERIAL,BDMAP_O0000049
FELIX-OUT-1150_ARTERIAL,BDMAP_O0000050
FELIX-OUT-1154_Struct,BDMAP_O0000051
FELIX-OUT-1155_Struct,BDMAP_O0000052
FELIX-OUT-1156_Struct,BDMAP_O0000053
FELIX-OUT-1157_ARTERIAL,BDMAP_O0000054
FELIX-OUT-1157_VENOUS,BDMAP_O0000055
FELIX-OUT-1158_Struct,BDMAP_O0000056
FELIX-OUT-1161_Struct,BDMAP_O0000057
FELIX-OUT-1163_Scan02_ARTERIAL,BDMAP_O0000058
FELIX-OUT-1163_Scan02_VENOUS,BDMAP_O0000059
FELIX-OUT-1163_Scan03_Struct,BDMAP_O0000060
FELIX-OUT-1164_Struct,BDMAP_O0000061
FELIX-OUT-1165_Struct,BDMAP_O0000062
FELIX-OUT-1166_Scan03_Struct,BDMAP_O0000063
FELIX-OUT-1167_ARTERIAL,BDMAP_O0000064
FELIX-OUT-1167_VENOUS,BDMAP_O0000065
FELIX-OUT-1170_Struct,BDMAP_O0000066
FELIX-OUT-1182_1,BDMAP_O0000067
FELIX-OUT-1183_1,BDMAP_O0000068
FELIX-OUT-1184_1,BDMAP_O0000069
FELIX-OUT-1184_2,BDMAP_O0000070
FELIX-OUT-1187_1,BDMAP_O0000071
FELIX-OUT-1187_2,BDMAP_O0000072
FELIX-OUT-1188_1,BDMAP_O0000073
FELIX-OUT-1189_1,BDMAP_O0000074
FELIX-OUT-1190_1,BDMAP_O0000075
FELIX-OUT-1191_1,BDMAP_O0000076
FELIX-OUT-1191_2,BDMAP_O0000077
FELIX-OUT-1192_1,BDMAP_O0000078
FELIX-OUT-1193_1,BDMAP_O0000079
FELIX-OUT-1194_1,BDMAP_O0000080
FELIX-OUT-1197_1,BDMAP_O0000081
FELIX-OUT-1198_1,BDMAP_O0000082
FELIX-OUT-1198_2,BDMAP_O0000083
FELIX-OUT-1198_3,BDMAP_O0000084
FELIX-OUT-1198_4,BDMAP_O0000085
FELIX-OUT-1198_5,BDMAP_O0000086
FELIX-OUT-1199_1,BDMAP_O0000087
FELIX-OUT-1199_2,BDMAP_O0000088
FELIX-OUT-1199_3,BDMAP_O0000089
FELIX-OUT-1202_Scan01_Struct,BDMAP_O0000090
FELIX-OUT-1202_Scan02_Struct,BDMAP_O0000091
FELIX-OUT-1203_Struct,BDMAP_O0000092
FELIX-OUT-1205_Struct,BDMAP_O0000093
FELIX-OUT-1206_Struct,BDMAP_O0000094
FELIX-OUT-1207_Scan01_Struct,BDMAP_O0000095
FELIX-OUT-1209_ARTERIAL,BDMAP_O0000096
FELIX-OUT-1230_1,BDMAP_O0000097
FELIX-OUT-1230_2,BDMAP_O0000098
FELIX-OUT-1231_1,BDMAP_O0000099
FELIX-OUT-1231_2,BDMAP_O0000100
FELIX-OUT-1232_1,BDMAP_O0000101
FELIX-OUT-1232_2,BDMAP_O0000102
FELIX-OUT-1233_1,BDMAP_O0000103
FELIX-OUT-1234_1,BDMAP_O0000104
FELIX-OUT-1234_2,BDMAP_O0000105
FELIX-OUT-1234_3,BDMAP_O0000106
FELIX-OUT-1235_1,BDMAP_O0000107
FELIX-OUT-1235_2,BDMAP_O0000108
FELIX-OUT-1238_1,BDMAP_O0000109
FELIX-OUT-1238_2,BDMAP_O0000110
FELIX-OUT-1238_3,BDMAP_O0000111
FELIX-OUT-1238_4,BDMAP_O0000112
FELIX-OUT-1238_5,BDMAP_O0000113
FELIX-OUT-1238_6,BDMAP_O0000114
FELIX-OUT-1238_7,BDMAP_O0000115
FELIX-OUT-1239_1,BDMAP_O0000116
FELIX-OUT-1240_1,BDMAP_O0000117
FELIX-OUT-1242_1,BDMAP_O0000118
FELIX-OUT-1243_1,BDMAP_O0000119
FELIX-OUT-1243_2,BDMAP_O0000120
FELIX-OUT-1245_1,BDMAP_O0000121
FELIX-OUT-1245_2,BDMAP_O0000122
FELIX-OUT-1247_1,BDMAP_O0000123
FELIX-OUT-1247_2,BDMAP_O0000124
FELIX-OUT-1270_1,BDMAP_O0000125
FELIX-OUT-1270_2,BDMAP_O0000126
FELIX-OUT-1271_1,BDMAP_O0000127
FELIX-OUT-1272_1,BDMAP_O0000128
FELIX-OUT-1273_1,BDMAP_O0000129
FELIX-OUT-1273_2,BDMAP_O0000130
FELIX-OUT-1274_1,BDMAP_O0000131
FELIX-OUT-1274_2,BDMAP_O0000132
FELIX-OUT-1275_1,BDMAP_O0000133
FELIX-OUT-1275_2,BDMAP_O0000134
FELIX-OUT-1276_1,BDMAP_O0000135
FELIX-OUT-1276_2,BDMAP_O0000136
FELIX-OUT-1277_1,BDMAP_O0000137
FELIX-OUT-1277_2,BDMAP_O0000138
FELIX-OUT-1278_1,BDMAP_O0000139
FELIX-OUT-1278_2,BDMAP_O0000140
FELIX-OUT-1278_3,BDMAP_O0000141
FELIX-OUT-1279_1,BDMAP_O0000142
FELIX-OUT-1279_2,BDMAP_O0000143
FELIX-OUT-1279_3,BDMAP_O0000144
FELIX-OUT-1280_1,BDMAP_O0000145
FELIX-OUT-1281_1,BDMAP_O0000146
FELIX-OUT-1282_1,BDMAP_O0000147
FELIX-OUT-1283_1,BDMAP_O0000148
FELIX-OUT-1284_1,BDMAP_O0000149
FELIX-OUT-1284_2,BDMAP_O0000150
FELIX-OUT-1284_3,BDMAP_O0000151
FELIX-OUT-1284_4,BDMAP_O0000152
FELIX-OUT-1284_5,BDMAP_O0000153
FELIX-OUT-1285_1,BDMAP_O0000154
FELIX-OUT-1286_1,BDMAP_O0000155
FELIX-OUT-1286_2,BDMAP_O0000156
FELIX-OUT-1287_1,BDMAP_O0000157
FELIX-OUT-1288_1,BDMAP_O0000158
FELIX-OUT-1289_1,BDMAP_O0000159
FELIX-OUT-1289_2,BDMAP_O0000160
FELIX-OUT-1289_3,BDMAP_O0000161
FELIX-OUT-1289_4,BDMAP_O0000162
FELIX-OUT-1289_5,BDMAP_O0000163
FELIX-OUT-1300_ARTERIAL,BDMAP_O0000164
FELIX-OUT-1300_VENOUS,BDMAP_O0000165
FELIX-OUT-1303_Struct,BDMAP_O0000166
FELIX-OUT-1304_Struct,BDMAP_O0000167
FELIX-OUT-1307_Struct,BDMAP_O0000168
FELIX-OUT-1320_1,BDMAP_O0000169
FELIX-OUT-1320_2,BDMAP_O0000170
FELIX-OUT-1320_3,BDMAP_O0000171
FELIX-OUT-1321_1,BDMAP_O0000172
FELIX-OUT-1321_2,BDMAP_O0000173
FELIX-OUT-1322_1,BDMAP_O0000174
FELIX-OUT-1322_2,BDMAP_O0000175
FELIX-OUT-1323_1,BDMAP_O0000176
FELIX-OUT-1324_1,BDMAP_O0000177
FELIX-OUT-1324_2,BDMAP_O0000178
FELIX-OUT-1325_1,BDMAP_O0000179
FELIX-OUT-1326_1,BDMAP_O0000180
FELIX-OUT-1327_1,BDMAP_O0000181
FELIX-OUT-1327_2,BDMAP_O0000182
FELIX-OUT-1328_1,BDMAP_O0000183
FELIX-OUT-1328_2,BDMAP_O0000184
FELIX-OUT-1329_1,BDMAP_O0000185
FELIX-OUT-1329_2,BDMAP_O0000186
FELIX-OUT-1329_3,BDMAP_O0000187
FELIX-OUT-1370_1,BDMAP_O0000188
FELIX-OUT-1371_1,BDMAP_O0000189
FELIX-OUT-1372_1,BDMAP_O0000190
FELIX-OUT-1372_2,BDMAP_O0000191
FELIX-OUT-1372_3,BDMAP_O0000192
FELIX-OUT-1373_1,BDMAP_O0000193
FELIX-OUT-1373_2,BDMAP_O0000194
FELIX-OUT-1373_3,BDMAP_O0000195
FELIX-OUT-1374_1,BDMAP_O0000196
FELIX-OUT-1374_2,BDMAP_O0000197
FELIX-OUT-1375_1,BDMAP_O0000198
FELIX-OUT-1376_1,BDMAP_O0000199
FELIX-OUT-1378_1,BDMAP_O0000200
FELIX-OUT-1379_1,BDMAP_O0000201
FELIX-OUT-1379_2,BDMAP_O0000202
FELIX-OUT-1380_1,BDMAP_O0000203
FELIX-OUT-1380_2,BDMAP_O0000204
FELIX-OUT-1381_1,BDMAP_O0000205
FELIX-OUT-1382_1,BDMAP_O0000206
FELIX-OUT-1382_2,BDMAP_O0000207
FELIX-OUT-1382_3,BDMAP_O0000208
FELIX-OUT-1382_4,BDMAP_O0000209
FELIX-OUT-1383_1,BDMAP_O0000210
FELIX-OUT-1383_2,BDMAP_O0000211
FELIX-OUT-1384_1,BDMAP_O0000212
FELIX-OUT-1385_1,BDMAP_O0000213
FELIX-OUT-1385_2,BDMAP_O0000214
FELIX-OUT-1385_3,BDMAP_O0000215
FELIX-OUT-1385_4,BDMAP_O0000216
FELIX-OUT-1386_1,BDMAP_O0000217
FELIX-OUT-1386_2,BDMAP_O0000218
FELIX-OUT-1387_1,BDMAP_O0000219
FELIX-OUT-1387_2,BDMAP_O0000220
FELIX-OUT-1387_3,BDMAP_O0000221
FELIX-OUT-1387_4,BDMAP_O0000222
FELIX-OUT-1387_5,BDMAP_O0000223
FELIX-OUT-1387_6,BDMAP_O0000224
FELIX-OUT-1387_7,BDMAP_O0000225
FELIX-OUT-1388_1,BDMAP_O0000226
FELIX-OUT-1388_2,BDMAP_O0000227
FELIX-OUT-1389_1,BDMAP_O0000228
FELIX-OUT-1390_1,BDMAP_O0000229
FELIX-OUT-1390_2,BDMAP_O0000230
FELIX-OUT-1391_1,BDMAP_O0000231
FELIX-OUT-1391_2,BDMAP_O0000232
FELIX-OUT-1391_3,BDMAP_O0000233
FELIX-OUT-1392_1,BDMAP_O0000234
FELIX-OUT-1392_2,BDMAP_O0000235
FELIX-OUT-1393_1,BDMAP_O0000236
FELIX-OUT-1393_2,BDMAP_O0000237
FELIX-OUT-1394_1,BDMAP_O0000238
FELIX-OUT-1394_2,BDMAP_O0000239
FELIX-OUT-1395_1,BDMAP_O0000240
FELIX-OUT-1395_2,BDMAP_O0000241
FELIX-OUT-1396_1,BDMAP_O0000242
FELIX-OUT-1396_2,BDMAP_O0000243
FELIX-OUT-1396_3,BDMAP_O0000244
FELIX-OUT-1396_4,BDMAP_O0000245
FELIX-OUT-1396_5,BDMAP_O0000246
FELIX-OUT-1396_6,BDMAP_O0000247
FELIX-OUT-1396_7,BDMAP_O0000248
FELIX-OUT-1396_8,BDMAP_O0000249
FELIX-OUT-1397_1,BDMAP_O0000250
FELIX-OUT-1397_2,BDMAP_O0000251
FELIX-OUT-1397_3,BDMAP_O0000252
FELIX-OUT-1398_1,BDMAP_O0000253
FELIX-OUT-1399_1,BDMAP_O0000254
FELIX-OUT-1399_2,BDMAP_O0000255
FELIX-OUT-1399_3,BDMAP_O0000256
FELIX-OUT-1399_4,BDMAP_O0000257
FELIX-OUT-1400_ARTERIAL,BDMAP_O0000258
FELIX-OUT-1400_VENOUS,BDMAP_O0000259
FELIX-OUT-1401_Struct,BDMAP_O0000260
FELIX-OUT-1402_Struct,BDMAP_O0000261
FELIX-OUT-1441_1,BDMAP_O0000262
FELIX-OUT-1441_2,BDMAP_O0000263
FELIX-OUT-1442_1,BDMAP_O0000264
FELIX-OUT-1442_2,BDMAP_O0000265
FELIX-OUT-1443_1,BDMAP_O0000266
FELIX-OUT-1443_2,BDMAP_O0000267
FELIX-OUT-1444_1,BDMAP_O0000268
FELIX-OUT-1445_1,BDMAP_O0000269
FELIX-OUT-1445_2,BDMAP_O0000270
FELIX-OUT-1445_3,BDMAP_O0000271
FELIX-OUT-1445_4,BDMAP_O0000272
FELIX-OUT-1446_1,BDMAP_O0000273
FELIX-OUT-1446_2,BDMAP_O0000274
FELIX-OUT-1447_1,BDMAP_O0000275
FELIX-OUT-1447_2,BDMAP_O0000276
